_id,product_id,name,current_price,image_url,size,description,category,sub_category,Store
6549d2113b31f5476d49dece,E001,"Samsung-Smart LED TV 40""",399.99,https://img.freepik.com/premium-photo/tv-set-with-curved-screen-isolated_172429-992.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,40 inches,Full HD Smart LED Television with HDR and Alexa Compatibility.,Electronics,Televisions,Amazon
6549d2113b31f5476d49decf,E002,Bluetooth Wireless Headphones,125,https://img.freepik.com/free-photo/portrait-attractive-sportswoman-with-long-curly-hair-headphones-walking-early-morning-seafront-enjoying-training-outside-cheerful-mood-lovely-music-smiling-with-closed-eyes_197531-2946.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,250 grams,Noise-Cancelling Over-Ear Headphones with 20 Hours Playtime.,Electronics,Audio,Walmart
6549d2113b31f5476d49ded0,E003,Portable External Hard Drive,99,https://img.freepik.com/free-photo/top-view-storage-device-laptop_23-2149319332.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,2 TB,2TB USB 3.0 Portable External Hard Drive for File Backup.,Electronics,Storage,Amazon
6549d2113b31f5476d49ded1,E004,Gaming Mouse,59.99,https://img.freepik.com/free-photo/view-neon-illuminated-gaming-desk-setup-with-keyboard_23-2149529362.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,150 grams,Ergonomic RGB Gaming Mouse with Adjustable DPI.,Electronics,Computer Accessories,Walmart
6549d2113b31f5476d49ded2,E005,Digital Camera,449.99,https://img.freepik.com/free-photo/camera-equipment-capturing-single-macro-object-generative-ai_188544-12096.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,450 grams,20MP Digital Camera with 35x Optical Zoom and Wi-Fi.,Electronics,Cameras,Amazon
6549d2113b31f5476d49ded3,E006,Wireless Earbuds,79,https://img.freepik.com/free-photo/wireless-inear-headphones-with-case-pink-background-flat-lay_169016-23020.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,10 grams,Compact true wireless earbuds with touch control and charging case.,Electronics,Audio,Walmart
6549d2113b31f5476d49ded4,E007,Smartphone 128GB,749,https://img.freepik.com/free-photo/back-position-smartphone-device-tech-generative-ai_188544-12116.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,6.1 inches,Latest model smartphone with 128GB storage and advanced camera.,Electronics,Mobile Phones,Amazon
6549d2113b31f5476d49ded5,E008,4K Action Camera,149.99,https://img.freepik.com/free-photo/close-up-camera-with-man-talking-recording-himself-vlog-working-from-home-young-content-creator_1268-17415.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,120 grams,Waterproof 4K action camera with built-in stabilization.,Electronics,Cameras,Walmart
6549d2113b31f5476d49ded6,E009,Smartwatch Fitness Tracker,139,https://img.freepik.com/free-photo/portrait-young-fitness-woman-earphones_171337-6253.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,45 mm,"Smartwatch with fitness tracking, heart rate monitor, and GPS.",Electronics,Wearable Technology,Amazon
6549d2113b31f5476d49ded7,E010,"Tablet 8""",249,https://img.freepik.com/free-photo/flat-lay-with-tablet-glasses-cactus-petals-table_23-2148104180.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,8 inches,Portable 8-inch tablet with HD display and 32GB storage.,Electronics,Tablets,Walmart
6549d2113b31f5476d49ded8,E011,Laptop Ultra HD,1050,https://img.freepik.com/free-photo/electronic-device-balancing-concept_23-2150422322.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,15.6 inches,Ultra HD laptop with 1TB SSD and 16GB RAM.,Electronics,Computers,Amazon
6549d2113b31f5476d49ded9,E012,Drone with 4K Camera,799,https://img.freepik.com/free-photo/quadcopter-flying-nature_231208-10459.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,250 grams,Compact drone with 4K camera and 30-minute flight time.,Electronics,Drones,Walmart
6549d2113b31f5476d49deda,E013,"E-Reader 6""",110,https://img.freepik.com/free-photo/teenager-taking-tablet-from-bookshelf_23-2147845941.jpg?size=626&ext=jpg&ga=GA1.1.1297448402.1699321537&semt=ais,6 inches,Lightweight e-reader with glare-free display and Wi-Fi connectivity.,Electronics,Readers,Amazon
