_id,product_id,name,current_price,image_url,size,description,category,sub_category,Store
6549d21c3b31f5476d49df01,1,Classic Cotton T-Shirt, 14.99 ,https://m.media-amazon.com/images/I/61cIudyz2tL._AC_SX679_.jpg,S,A timeless cotton t-shirt perfect for everyday wear.,Apparel,Tops,Walmart
6549d21c3b31f5476d49df02,2,Elegant Silk Scarf, 29.99 ,https://img.freepik.com/free-photo/female-model-adverting-oriental-style-hijab-with-patterns_114579-6715.jpg?w=900&t=st=1699319868~exp=1699320468~hmac=b481d3d445be8ebbdb7a7dbcd291fad7447d46bc82cbc980c29d85ff908aa4ad,One Size,Luxurious silk scarf to add a touch of elegance to any outfit.,Accessories,Scarves,Amazon
6549d21c3b31f5476d49df03,3,Leather Wallet, 39.99 ,https://img.freepik.com/premium-photo/new-leather-brown-men-wallet-isolated-white_30478-5485.jpg?w=1060,One Size,Compact and stylish leather wallet with multiple card slots.,Accessories,Wallets,Walmart
6549d21c3b31f5476d49df04,4,Denim Jeans, 45.99 ,https://img.freepik.com/free-photo/jeans_1203-8093.jpg?w=740&t=st=1699320006~exp=1699320606~hmac=eae6ed7ad2c1f18d461ca2ca7c53495e352de923f9aa182240de5e95b7fd1827,30,Casual denim jeans with a comfortable fit and classic style.,Apparel,Bottoms,Amazon
6549d21c3b31f5476d49df05,5,Sneakers, 59.99 ,https://img.freepik.com/free-photo/sport-running-shoes_1203-3414.jpg?w=1060&t=st=1699320040~exp=1699320640~hmac=f759a478db61a4e659d3b87b16c4e4b92b003ba3fe7b2f1979e2deb3ffd454a7,7,Trendy sneakers with great support and sporty design.,Footwear,Shoes,Walmart
6549d21c3b31f5476d49df06,6,Bohemian Floral Dress, 69.99 ,https://img.freepik.com/free-photo/beautiful-vertical-picture-ginger-female-with-pure-white-skin-attractive-pink-gown_181624-26595.jpg?w=360&t=st=1699320070~exp=1699320670~hmac=8a9a107562150e320c77282c860db03b85187719b009916e03a26c42755ad0cb,S,Light summer dress with a vibrant floral print.,Apparel,Dresses,Amazon
6549d21c3b31f5476d49df07,7,Faux Leather Jacket, 95.00 ,https://img.freepik.com/premium-photo/leather-jacket-isolated_624181-3928.jpg?w=360,M,A stylish faux leather jacket for a sharp look.,Apparel,Outerwear,Walmart
6549d21c3b31f5476d49df08,8,Beanie Hat, 19.99 ,https://img.freepik.com/free-photo/woman-sweater-with-hands-chin_23-2147966109.jpg?w=740&t=st=1699320187~exp=1699320787~hmac=192ef4c7a46a5ff8fe67eb4c7a1215eb4dcfb80f363532f4ae170fe00a9f7e75,One Size,Warm beanie hat suitable for cold weathers.,Accessories,Hats,Amazon
6549d21c3b31f5476d49df09,9,Aviator Sunglasses, 79.99 ,https://img.freepik.com/free-photo/young-blonde-man-with-sunglasses-beach_291650-826.jpg?w=1060&t=st=1699320256~exp=1699320856~hmac=fd77e146097c335f141c55f4bbeab777fb8e21638d08b071fad5c614c150e0b8,One Size,Classic aviator sunglasses with UV protection.,Accessories,Eyewear,Walmart
6549d21c3b31f5476d49df0a,10,Wristwatch, 175.00 ,https://img.freepik.com/free-photo/rehearsal-preparation-groom-s-watch-hand_8353-5810.jpg?w=1060&t=st=1699320292~exp=1699320892~hmac=c03c21053f989d5d07fe09b1deee7a174ec3805f7d73cf03fd5b336ff35a9593,One Size,Elegant wristwatch with a leather strap and stainless steel case.,Accessories,Watches,Amazon
